Model,BLEU,METEOR,ROUGE-L,CIDEr,Matched Videos
BLIP,0.051108889534857906,0.20876287433451954,0.2692573044551338,0.43063627403427346,1970
GIT,0.03671118371843788,0.14113747816823707,0.20833827780252345,0.3300426008339127,1970
ViT-GPT2,0.04184609161199565,0.1752544307399947,0.2249154324492081,0.2813940563754886,1970
