Model,BLEU,METEOR,ROUGE-L,CIDEr,BERTScore,CLIPScore,Matched Videos
BLIP,0.03649590797811178,0.1804706716643943,0.2326477942422215,0.3011659446110403,0.2924036979675293,0.7366958856582642,49
GIT,0.029597958540876497,0.1315458732872296,0.19344298491957554,0.23774558959713607,0.18187682330608368,0.7102974057197571,49
ViT-GPT2,0.032126676567389226,0.13858955421925373,0.1947051791269982,0.23831413570232643,0.2719658315181732,0.6739361882209778,49
